Programme,Term,ID,UOW ID,SIM ID,Name,Mobile No.,SIM Email,Personal Email
BCSF,8000,S123123X,10600001,7000001,Camron Hyde,81545225,camro.hyde@mymail.sim.edu.sg,camro.hyde@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600002,7000002,Catrin Yu,85465048,catri.yu@mymail.sim.edu.sg,catri.yu@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600003,7000003,Darrell Colon,96103305,darre.colon@mymail.sim.edu.sg,darre.colon@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600004,7000004,Rhiann Tyler,84201371,rhian.tyler@mymail.sim.edu.sg,rhian.tyler@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600005,7000005,Farhan Duggan,84370304,farha.dugga@mymail.sim.edu.sg,farha.dugga@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600006,7000006,Akash Acevedo,87558555,akash.aceve@mymail.sim.edu.sg,akash.aceve@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600007,7000007,Ikra Smith,89845608,ikra.smith@mymail.sim.edu.sg,ikra.smith@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600008,7000008,Leslie Petersen,96127849,lesli.peter@mymail.sim.edu.sg,lesli.peter@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600009,7000009,Kirk Quintana,95723018,kirk.quint@mymail.sim.edu.sg,kirk.quint@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600010,7000010,Reis Conrad,95944442,reis.conra@mymail.sim.edu.sg,reis.conra@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BDP",8000,S123123X,10600010,7000010,Reis Conrad,95944442,reis.conra@mymail.sim.edu.sg,reis.conra@live.com
"BCSF, BSSF, BSSP, BBIS, BDF, BIT, BFG",8000,S123123X,10600011,7000011,Martha Feen,98675263,marth.feen@mymail.sim.edu.sg,marth.feen@live.com
